,0
LinearRegression,6742401.747563937
LinearSVR,7839909.238557009
ExtraTreeRegressor,10137948.820321402
ExtraTreesRegressor,6993322.523550765
RandomForestRegressor,6056399.779092092
BaggingRegressor,4796101.256159964
SVR,10666584.554279258
NuSVR,10377623.640197555
DecisionTreeRegressor,8435936.135986177
KNeighborsRegressor,5593787.446967336
